maker,specific_origin,cocoa_percent,maker_location,rating,bean_type,broad_origin
A. Morin,Agua Grande,63.0,France,3.75,Blend,Sao Tome
A. Morin,Kpime,70.0,France,2.75,Blend,Togo
A. Morin,Atsane,70.0,France,3.0,Blend,Togo
A. Morin,Akata,70.0,France,3.5,Blend,Togo
A. Morin,Quilla,70.0,France,3.5,Blend,Peru
A. Morin,Carenero,70.0,France,2.75,Criollo,Venezuela
A. Morin,Cuba,70.0,France,3.5,Blend,Cuba
A. Morin,Sur del Lago,70.0,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,70.0,France,3.75,Criollo,Venezuela
A. Morin,Pablino,70.0,France,4.0,Blend,Peru
A. Morin,Panama,70.0,France,2.75,Blend,Panama
A. Morin,Madagascar,70.0,France,3.0,Criollo,Madagascar
A. Morin,Brazil,70.0,France,3.25,Blend,Brazil
A. Morin,Equateur,70.0,France,3.75,Blend,Ecuador
A. Morin,Colombie,70.0,France,2.75,Blend,Colombia
A. Morin,Birmanie,70.0,France,3.0,Blend,Burma
A. Morin,Papua New Guinea,70.0,France,3.25,Blend,Papua New Guinea
A. Morin,Chuao,70.0,France,4.0,Trinitario,Venezuela
A. Morin,Piura,70.0,France,3.25,Blend,Peru
A. Morin,Chanchamayo Province,70.0,France,3.5,Blend,Peru
A. Morin,Chanchamayo Province,63.0,France,4.0,Blend,Peru
A. Morin,Bolivia,70.0,France,3.5,Blend,Bolivia
A. Morin,Peru,63.0,France,3.75,Blend,Peru
Acalli,"Chulucanas,El Platanal",70.0,U.S.A.,3.75,Blend,Peru
Acalli,"Tumbes,Norandino",70.0,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,60.0,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu,Toto,A",80.0,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,88.0,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu,Ami,Ami,CA",72.0,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios,Quevedo,Arriba",55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios,Quevedo,Arriba",70.0,Ecuador,3.0,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,70.0,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Bali ,west,Sukrama Family,Melaya area",75.0,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar,Ambolikapiky P",75.0,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre,D Badero",75.0,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,65.0,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,75.0,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,75.0,France,3.0,Trinitario,Madagascar
Alain Ducasse,Chuao,75.0,France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura,Perou",75.0,France,2.5,Blend,Peru
Alexandre,"Winak Coop,Napo",70.0,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia,Matagalpa",70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,70.0,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village,Kyela",70.0,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,60.0,U.S.A.,2.75,Blend,Nicaragua
Altus aka Cao Artisan,Acopagro,60.0,U.S.A.,3.0,Blend,Peru
Altus aka Cao Artisan,CIAAB Coop,60.0,U.S.A.,2.5,Blend,Bolivia
Altus aka Cao Artisan,Villa Andina,60.0,U.S.A.,2.5,Blend,Peru
Altus aka Cao Artisan,Gruppo Salinas,60.0,U.S.A.,2.75,Blend,Ecuador
Altus aka Cao Artisan,Sur del Lago,60.0,U.S.A.,2.5,Blend,Venezuela
Altus aka Cao Artisan,Conacado,60.0,U.S.A.,3.0,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,80.0,U.S.A.,3.25,Blend,Bolivia
Altus aka Cao Artisan,Bolivia,60.0,U.S.A.,3.0,Blend,Bolivia
Altus aka Cao Artisan,Peru,60.0,U.S.A.,3.25,Blend,Peru
Amano,Morobe,70.0,U.S.A.,4.0,Blend,Papua New Guinea
Amano,Dos Rios,70.0,U.S.A.,3.75,Blend,Dominican Republic
Amano,Guayas,70.0,U.S.A.,4.0,Blend,Ecuador
Amano,Chuao,70.0,U.S.A.,3.0,Trinitario,Venezuela
Amano,Montanya,70.0,U.S.A.,3.0,Blend,Venezuela
Amano,"Bali,Jembrana",70.0,U.S.A.,2.75,Blend,Indonesia
Amano,Madagascar,70.0,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,70.0,U.S.A.,3.0,Blend,Venezuela
Amano,Ocumare,70.0,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,70.0,Spain,3.0,Forastero,Ghana
Amatller (Simon Coll),Ecuador,70.0,Spain,2.75,Blend,Ecuador
Amatller (Simon Coll),Ecuador,85.0,Spain,2.75,Blend,Ecuador
Amatller (Simon Coll),Ghana,85.0,Spain,3.0,Forastero,Ghana
Amazona,"LamasdelChanka,San Martin,Oro Verde coop",72.0,Peru,3.25,Blend,Peru
